,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
47,47,48,57,65,365,36012,USATODAY,2401,5397,Kim Jong-un,Kim Jong Un's purported birthday is no holiday in North Korea,Real,2,132,6.5,16.2,150.5,-0.069,0.112,0.037,0.9,0,0.93,0,2.61,2.61,2.23,2.6,2.08,1.08,0.08,0,0,0,2.29,0.74,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0.276867092,0.723132968,0,0.061682377,0.438384324,0.499933332,0.008280763,0.003297872,0.294664502,0.616406441,0.071888454,0.001183835,0.004278143
48,48,49,58,66,366,1794,business,2061,2041,Kim Jong-un,Kim Jong Un is trying to drive a wedge between Seoul and Washington via @SCREEN_NAME,Real,2,132,7.4,24.5,154.9,-0.048,0.156,-0.045,0,0,0,0,1.72,2.47,0.85,0.98,0.52,0,0,0,0.17,0,0.85,0.42,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.312593222,0.658129215,0.02927755,0.007993501,0.046514168,0.945492387,1.61E-06,5.65E-07,0.000117284,0.999569476,0.000240702,4.01E-08,7.04E-05
49,49,50,59,67,367,9909,ABCWorldNews,2345,5405,Kim Jong-un,Trump: 'It's certainly a possibility' could become friends with Kim Jong Un:,Real,2,132,-16,8.1,161.1,-0.342,0.108,-0.189,0,0,0,0,0,0.8,0.25,0,0,0,0.75,0.82,1.11,0.17,0,0.59,0.35,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.399882793,0.40228495,0.197832271,0.066777386,0,0.933222651,0.889209509,0.003018149,0.021608235,0.002332034,0.015505484,0.003448125,0.064878449
50,50,51,62,72,372,9335,USATODAY,4623,5162,Kim Jong-un,North Korea's Kim Jong Un has banned parties with alcohol and singing.,Real,2,132,4.7,7,131.8,0.008,-0.056,-0.031,0,0,0.12,0,3.25,4.73,2.84,2.1,2.1,1.81,0.25,0,0.49,0,4.16,1.6,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.192931309,0.807068646,0,0.050865218,0.626516819,0.322617948,0.000102051,8.76E-12,2.60E-09,0.999269545,0.000545657,6.95E-07,8.20E-05
51,51,52,63,73,373,26029,TIME,2437,5182,Kim Jong-un,South Korean President Moon Jae-in says he is open to meeting Kim Jong Un,Real,2,132,-1.4,9.6,132.2,-0.015,0.266,0.07,1.4,1.83,0.37,1.91,0,0.52,0,0,0.03,0,1.09,0.97,0,0,1.18,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.414073348,0.585926592,0,0.090454035,0,0.909545958,0.002036038,1.65E-05,0.050830059,0.000288625,8.35E-05,0.946728826,1.65E-05
52,52,53,64,74,374,12659,ReutersIndia,2569,5218,Kim Jong-un,"North Korea's Kim Jong Un fetes rocket scientists, promises more weapons",Real,2,132,20.4,21.8,122.1,-0.045,-0.249,0.053,0,0,0,0.34,2.53,2.25,2.23,3.21,1.86,0.85,0,0,0,0,4.15,0.91,0.01,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.348237008,0.651762962,0,0.124154791,0.875845194,0,0.876384795,1.60E-07,0.008554309,0.114983529,7.33E-05,4.75E-09,3.93E-06
53,53,54,65,75,375,30925,euronews,2572,2897,Kim Jong-un,Kim Jong Un's Olympic olive branch could see first talks in years,Real,2,132,8,17.5,161.8,-0.136,0.296,0.007,1.4,0.6,1.38,0.2,0,0.75,0,0,0,0,0.6,0,0,0,0,0.14,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.35270682,0.508596599,0.138696596,0.001120662,0.866418958,0.132460311,0.95881927,1.20E-09,3.42E-05,0.003724135,0.035402965,2.58E-08,0.002019444
54,54,55,66,76,376,25889,NPR,5198,5374,Kim Jong-un,"The ""nuclear button"" Twitter battle between President Trump and North Korea's Kim Jong Un has triggered a surge in…",Real,2,132,7.4,10.3,149.5,-0.008,0.285,-0.111,0,0.35,0,1.2,0,0.61,0,0.02,0,0,1.22,0.03,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0.305813789,0.540046692,0.154139578,0,0.175052568,0.824947417,0.053457107,6.15E-08,1.59E-05,0.023526229,0.177418232,3.74E-05,0.74554503
55,55,56,68,78,378,30017,AP,5202,2374,Kim Jong-un,President Trump says he's open to talking with the North Korean leader Kim Jong Un.,Real,2,132,14.4,10.5,136.8,-0.072,-0.179,0.148,0.62,0.03,0,0.09,0,0,0.4,0,0,0,1.69,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.335011899,0.572615921,0.092372201,0.009942447,0.731225193,0.258832335,0.31203422,4.17E-07,0.088618852,1.46E-06,0.45330888,5.11E-07,0.146035671
56,56,57,69,79,379,23333,nzherald,5412,3167,Kim Jong-un,"Trump strikes at heart of N Korea regime: President called Kim Jong Un a ""dictator"" running a ""twisted regime.""…",Real,2,132,7.3,30.7,147.7,-0.116,0.118,-0.024,0.86,1.48,0,0,0,0.53,0,0.61,0,0,2.15,0.58,0.42,0,0.8,0.82,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.365363479,0.305663884,0.328972638,0,1,0,0.07734479,1.80E-05,0.001890671,0.050398842,0.232646808,2.36E-05,0.637677312
57,57,58,71,81,381,10980,nypost,2289,2703,Kim Jong-un,"State-run media in North Korea said President Trump deserves the death penalty for calling Kim Jong Un ""short and f…",Real,2,132,2.2,16.3,144.4,-0.082,0.224,-0.005,0,0,0,0,2.11,3.42,1.54,1.22,1.3,0.79,0.26,0,0,0,1.61,0.33,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0.374926716,0.625073254,0,0.226192981,0.305551261,0.468255669,0.199862212,3.30E-07,0.599177718,0.198666319,0.001793463,0.000498904,9.99E-07
58,58,59,72,82,382,21418,politico,2370,5185,Kim Jong-un,"Trump tweeted that China’s recently returned envoy to North Korea “seems to have had no impact on” Kim Jong Un, que…",Real,2,132,-1.4,9.6,132.2,-0.015,0.266,0.07,1.4,1.83,0.37,1.91,0,0.52,0,0,0.03,0,1.09,0.97,0,0,1.18,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.414073348,0.585926592,0,0.090454035,0,0.909545958,0.002036038,1.65E-05,0.050830059,0.000288625,8.35E-05,0.946728826,1.65E-05
59,59,60,73,84,384,23996,business,2861,5556,Kim Jong-un,Donald Trump takes offense at North Korea's Kim Jong Un calling him 'old' (then says he'd never call Kim 'short and…,Real,2,132,5.4,5.7,142,-0.09,0.028,-0.028,0,0,0.25,0,0,1,0.6,0,0,0,1.58,1.16,0,0,0,0.41,0.56,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.310100377,0.5208956,0.169004083,0.016045997,0.983953953,0,0.970307469,0.000229323,0.004968516,9.08E-10,0.024200289,9.73E-10,0.000294435
60,60,61,74,85,385,21893,AP,3438,4881,Kim Jong-un,North Korea says Kim Jong Un ordered new ICBM to be fired with “courage.” ',Real,2,132,2.9,15.9,128.4,-0.057,0.011,-0.115,0,0.36,0.08,0.03,0.77,2.62,0.33,1.66,1.04,0.2,1.89,1.42,0.91,0.25,1.57,1.41,0.38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.268750697,0.731249332,0,0,0.697576046,0.302423924,0.384912372,0.002676197,0.107189327,0.316470563,0.032640561,0.155963033,0.000147883
61,61,62,75,86,386,26718,NBCNews,2862,4982,Kim Jong-un,President Trump says he’s open to talking to Kim Jong Un,Real,2,132,18.9,8.3,156.4,-0.038,0.044,0.014,0.33,0.33,0,0,1.55,0.84,1.51,1.7,1.88,0.49,0,0,0,0,1.66,0.3,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0.259521991,0.740477979,0,0.160653427,0.130054891,0.709291697,0.043601375,4.46E-14,1.86E-06,0.956395507,1.07E-08,1.22E-06,1.08E-10
62,62,63,77,89,389,34211,washingtonpost,5327,3130,Kim Jong-un,Opinion: North Korean defector: Now’s not the time to make a deal with Kim Jong Un,Real,2,132,11.7,22.9,129.8,-0.114,-0.123,0.118,0,0,0.28,0.09,0.84,2.55,2.25,1.77,0,0.78,2.38,1.67,0.75,0,0,0,0.05,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0.280088246,0.645742774,0.07416901,0.044817746,0.931938767,0.023243489,0.001347509,5.52E-05,0.003439041,2.52E-05,0.995058894,1.99E-09,7.42E-05
63,63,64,79,92,392,33163,ReutersPolitics,3352,2875,Kim Jong-un,Trump tweet on nuclear button keeps Kim Jong Un 'on his toes': Haley,Real,2,132,-1,10.2,136.5,-0.024,-0.041,0.024,0,0,0.39,0,1.58,2.96,1.62,1.83,1.9,1.05,0.35,0,0.54,0,2.14,0.55,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0.317732781,0.682267249,0,0,0,1,0.011329359,0.958676934,0.00038145,0.024532249,0.003923887,1.19E-05,0.001144203
64,64,65,80,93,393,33652,business,2615,5170,Kim Jong-un,"The latest North Korea sanctions are more likely to hurt ordinary people, not Kim Jong Un's regime…",Real,2,132,4,12.6,127.2,-0.085,-0.027,-0.037,0.76,0,0.28,0,2.47,3.01,1.46,1.94,2.27,1.24,1.07,0,0.6,0,2.57,1.3,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0.332110673,0.667889297,0,0.033380013,0.38755554,0.579064488,2.45E-07,4.08E-13,0.001318985,0.998520434,0.000159654,6.31E-07,1.05E-08
65,65,66,81,94,394,23619,NBCNewsWorld,4825,5164,Kim Jong-un,Trump says he's open to talking to North Korea's Kim Jong Un,Real,2,132,4.5,7.3,145.3,-0.027,0.063,-0.094,0,0,0.52,0,2.33,3.06,1.67,2.05,1.91,0.38,0.33,0,0.14,0,2.47,0.5,0.19,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0.364425361,0.635574639,0,0,0,1,0.138586849,0.000313818,0.017427374,0.621948004,0.220254123,0.001022484,0.000447325
66,66,67,82,95,395,23429,TorontoStar,5660,3069,Kim Jong-un,. @realDonaldTrump trip to Seoul brings him close to Kim Jong Un’s doorstep,Real,2,132,-15.3,7.7,132.1,-0.035,0.135,-0.055,0,0,0,0,1.84,2.54,0,1.1,1.66,0,0.06,0,0,0,1.58,0,0.39,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0.384196997,0.319746614,0.29605633,0.15218623,0.256007016,0.591806829,8.42E-06,5.81E-15,1.61E-10,0.999868751,1.72E-09,2.60E-05,9.68E-05
67,67,68,83,96,396,35985,ReutersIndia,2381,3151,Kim Jong-un,"WATCH: North Koreans stage a demonstration of devotion to their leader Kim Jong Un at least once a year, in a large…",Real,2,132,-1.4,9.6,132.2,-0.015,0.266,0.07,1.4,1.83,0.37,1.91,0,0.52,0,0,0.03,0,1.09,0.97,0,0,1.18,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0.414073348,0.585926592,0,0.090454035,0,0.909545958,0.002036038,1.65E-05,0.050830059,0.000288625,8.35E-05,0.946728826,1.65E-05
68,68,69,84,97,397,24583,MarketWatch,2309,5244,Kim Jong-un,"22% of millennials have a favorable view of Marx and a surprising number see Stalin and Kim Jong Un as “heroes.""",Real,2,132,-0.1,9.3,145.1,-0.055,0.054,0.007,0,0,0,0,0.95,1.93,1.37,1.27,0.7,0,1.06,0.25,0.46,0,1.65,0.77,0.73,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0.364911616,0.498501599,0.136586815,0.070652969,0.929347038,0,0.32117334,0.008971495,0.015954375,0.000189637,0.182810172,0.009346968,0.46155405
69,69,70,85,98,398,25835,NBCNewsWorld,2583,2083,Kim Jong-un,Kim Jong Un's Olympic thaw doesn't mean he's now a 'good neighbor',Real,2,132,8.7,11.9,133.5,-0.103,-0.061,0.012,0.47,0,0,0.16,1.58,1.17,1.09,0.95,1.81,0.57,0.57,0,0,0,0.83,0.24,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.218988299,0.78101176,0,0,0,1,0.000334893,6.10E-06,0.059323195,0.914522946,0.001080365,0.024727944,4.47E-06
70,70,71,86,99,399,15368,AP,4911,2263,Kim Jong-un,President Trump says he's be open to talking with the North Korean leader Kim Jong Un.,Real,2,132,6.6,19.6,130.5,-0.057,-0.067,0.019,0,0,0.49,0,1.88,3.25,1.9,3.02,2,2.07,1.32,0,0.73,0,2.58,1.33,0.54,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0.355180293,0.644819677,0,0.043014098,0,0.956985891,0.012430486,0.000295938,5.15E-05,0.968239129,0.018981392,1.58E-08,1.51E-06
71,71,72,87,100,200,35786,nytimes,11139,10720,Emanuel Macron,"Macron Opens Year Pulling No Punches With Journalists, or Anyone",Real,2,54,-0.9,24.1,134.4,-0.193,-0.008,-0.028,0.26,0,0,0,1.1,2.02,0,0.62,0.6,0.14,1.03,0.32,0.1,0.07,0,0.3,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0.462227672,0.322553664,0.215218648,0.052912727,0.724835455,0.222251862,0.003036458,4.58E-08,0.989269912,2.30E-09,0.004555213,3.43E-05,0.003104132
72,72,73,88,101,201,16050,ReutersPolitics,6918,10321,Emanuel Macron,JUST IN: @POTUS will host French President Macron at White House in late April - senior administration official,Real,2,54,1.9,18,139.1,-0.083,-0.086,-0.023,0.93,0,1.42,0,1.17,1.47,0.45,1.38,1.68,2.46,1.51,0.92,0.55,0.59,1.04,1.26,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0.327412456,0.672587574,0,0,0,1,0.007143351,4.99E-08,0.57477814,0.03374758,0.021101885,0.163150817,0.200078174
73,73,74,89,102,202,12167,business,6070,10708,Emanuel Macron,Emmanuel Macron calls for an overhaul to relations between China and the European Union,Real,2,54,5.9,11.9,126.8,0.026,-0.063,-0.007,0.27,0.36,0.14,2.47,0,0.21,0,0,0,1.32,1.37,0.11,0.98,0,0.19,1.09,0.09,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.476934791,0.421766073,0.1012991,0,0.754089355,0.245910674,0.066309094,1.18E-05,0.014348901,0.0009556,0.726437509,0.006773347,0.185163677
74,74,75,90,103,203,14761,globeandmail,5895,11094,Emanuel Macron,"After Macron meeting, al-Hariri says will clarify position upon return to Lebanon next week",Real,2,54,5.8,11.9,126.5,0.018,-0.068,-0.004,0.16,0.42,0.23,2.87,0,0.29,0.05,0,0,1.25,1.41,0.17,1.21,0,0.26,1.08,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.475369692,0.422151178,0.102479123,0,0.752444446,0.247555569,0.049308941,1.14E-05,0.014214243,0.000979431,0.746639192,0.006252252,0.182594538
75,75,76,92,105,205,21685,nytimesworld,10865,10672,Emanuel Macron,"A year ago, no one would have envisioned Emmanuel Macron as the public face of Western diplomacy, but the ascension…",Real,2,54,-6.3,10.4,153.7,0.054,0.17,0.056,0.07,0,0,0,1.55,1.03,0.14,0.82,1.25,0.32,0.39,0,0.52,0,2.02,1.94,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0.497870088,0.234427258,0.267702669,0.042399537,0.243392736,0.714207768,0.013392984,4.82E-05,0.041591957,0.859673202,0.000670113,0.04184328,0.042780329
76,76,77,93,107,207,34196,STForeignDesk,6495,6822,Emanuel Macron,News analysis: #Macron's #China visit will help boost his efforts for stronger China-Europe ties…,Real,2,54,7.8,18.5,141,-0.027,0.12,0.088,0.5,0,2.21,0.6,2.55,1.96,0,1.07,1.85,1.96,0.01,0.22,1.64,0.17,0.62,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.479493707,0.387787223,0.132719055,0.035247754,0.964752257,0,4.94E-06,1.41E-07,3.52E-07,0.994517505,0.000178768,2.94E-07,0.005297943
77,77,78,94,108,208,23104,business,10793,6861,Emanuel Macron,"Emmanuel Macron calls for China-EU relationship to enter ""the 21st Century""",Real,2,54,15,33.2,148.1,-0.095,0.088,-0.099,0.59,0.4,0.66,0.87,0,0,0,0,0.01,0.3,0.93,0,0.5,0,0.94,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30393976,0.461504698,0.234555617,0.157133028,0.711346149,0.131520823,3.69E-05,3.92E-09,3.31E-05,0.99631387,0.003007402,2.51E-08,0.000608595
78,78,79,95,109,209,37262,nytimesworld,5794,10422,Emanuel Macron,"Corsican nationalists swept elections on the French Mediterranean island, crushing Macron’s movement and traditiona…",Real,2,54,21.1,23.8,120.9,-0.235,-0.239,0.026,0,0,0,0.28,0.37,0.16,0.21,0.3,0.87,0.42,1.11,0,0.13,0,0.47,0.94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0.417382061,0.582617879,0,0,0.479413867,0.520586133,0.000361786,1.13E-12,0.703687072,1.48E-05,9.78E-05,0.016558386,0.279280096
79,79,80,96,110,210,22459,ReutersUK,7043,10196,Emanuel Macron,Daily Briefing: - EU's 'David Davis-proof' clause - Macron hosts summit on West Africa - Germany's slow-burning coa…,Real,2,54,10.6,9.4,133.5,-0.037,-0.207,-0.014,0,0,0.14,0,1.27,2.51,1.05,3.03,0.05,1.11,2.69,2,1.88,0.6,0,0.85,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0.429297417,0.38255769,0.188144863,0,0.249099001,0.750900984,0.72353363,8.08E-05,0.000206773,5.24E-05,0.27352044,7.42E-08,0.002605892
80,80,81,97,111,211,4332,AJEnglish,10879,10706,Emanuel Macron,"After months of see-sawing polls, Macron seems to have a new media strategy - a charm offensive.",Real,2,54,-6.5,18.2,170.9,-0.029,0.021,-0.029,2.62,0.64,0,0,0.3,0,0.46,0,0.81,0.68,0.22,0.98,0.03,1.06,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0.357907355,0.642092645,0,0,0.601447821,0.398552179,0.23985666,3.62E-10,0.00151581,0.000276493,0.070229344,2.25E-07,0.688121438
81,81,82,98,112,212,27851,AlArabiya_Eng,6823,7110,Emanuel Macron,OPINION: The semblance of #Chirac’s leadership style in #Macron. Columnist Randa Takieddine writes:…,Real,2,54,4.5,16.8,143.5,-0.026,-0.283,-0.1,0.71,0,0,2.03,0.53,1.72,0.61,0.99,0.14,0.22,0.25,0,0.18,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.344555885,0.631125808,0.024318231,0.021477893,0.668004334,0.310517788,0.104495794,3.33E-14,0.001398825,8.09E-10,0.394552439,1.26E-11,0.499552876
82,82,83,99,114,214,26528,japantimes,6170,10996,Emanuel Macron,"After Macron meeting, Hariri says he will clarify his position in Lebanon",Real,2,54,-11.5,17.7,133.9,-0.013,0.162,-0.083,0,0,0.74,0,0.26,0.49,0.25,0,0,0,1.37,0.83,0,0.21,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.176435366,0.823564589,0,0,0,1,0.880098164,1.47E-07,0.001674628,0.000514538,0.041664556,7.17E-08,0.076047979
83,83,84,100,115,215,35716,SCMP_News,10771,10268,Emanuel Macron,"The EU must reform to compete with China and US, Macron tells Davos",Real,2,54,-11.2,5.5,144.2,0.092,0.237,0.032,0.25,0,0,0.59,2.65,2.32,0.96,2.4,3.09,1.92,0,0,0,0,3.01,0.23,0.04,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.421402633,0.578597307,0,0,0,1,0.164299399,1.67E-10,0.01344609,0.787469268,0.03130104,3.11E-08,0.003484197
84,84,85,102,117,217,26846,AFP,11228,7032,Emanuel Macron,"""That will not help with your schoolwork"" says Macron to smokers on a video posted on the presidential Facebook page",Real,2,54,-11.2,5.5,144.2,0.092,0.237,0.032,0.25,0,0,0.59,2.65,2.32,0.96,2.4,3.09,1.92,0,0,0,0,3.01,0.23,0.04,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.421402633,0.578597307,0,0,0,1,0.164299399,1.67E-10,0.01344609,0.787469268,0.03130104,3.11E-08,0.003484197
85,85,86,103,118,218,32708,guardian,5750,11116,Emanuel Macron,Macron brings gift of horse called Vesuvius on visit to China,Real,2,54,4.6,19.5,131.9,0.005,-0.099,-0.046,0,0,0,0.61,0,0.36,0,0,0.42,0.08,0.45,1.02,0.56,0.06,0.01,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.578157902,0.284148872,0.137693211,0.114788562,0.851313591,0.033897832,0.215705559,1.96E-06,0.113288775,0.000984525,0.073402025,0.002535864,0.594081283
86,86,87,104,119,219,18572,ReutersUK,6319,10714,Emanuel Macron,"After Macron meeting, Hariri says will clarify position in Lebanon",Real,2,54,9,7.6,145,0.114,0.151,-0.04,0,0,0,0.54,0.84,2.1,0,0.82,1.53,0.54,0,0,0.04,0.41,1.42,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0.285580784,0.714419246,0,0,0,1,0.006676512,2.14E-12,7.32E-05,0.993246555,2.39E-07,9.91E-07,2.39E-06
87,87,88,106,121,221,6812,France24_en,6008,6079,Emanuel Macron,France's Macron kicks off China visit at gateway to Silk Road,Real,2,54,14,14.8,153.9,0.109,-0.238,0.096,0,0,0.28,0,0,0,0.79,1.67,0.33,1.36,0.46,0,2.13,0,0.01,0,0.04,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.408191949,0.474917531,0.11689052,0.181889102,0.485327393,0.33278355,0.455481857,0.000630064,0.037291735,6.01E-06,0.495175004,8.36E-06,0.011406997
88,88,89,107,124,224,33877,ReutersUK,5790,10724,Emanuel Macron,Daily Briefing: - Macron visits Calais ahead of UK-French summit - Romania seek new prime minister after Tudose res…,Real,2,54,2.8,11.1,137.5,0.062,-0.185,-0.14,0,0,0.23,0.76,0.18,0,0.5,0.38,0.89,0.19,0.54,0,0.14,0,0.03,0.1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0.354528934,0.636047721,0.009423388,0,0,1,0.234391674,0.002546528,0.283751905,0.015268694,0.444012493,0.008382453,0.011646291
89,89,90,108,125,225,35877,IrishTimes,10846,10785,Emanuel Macron,Davos: Macron says globalisation facing ‘major crisis’,Real,2,54,10.8,14.3,155,-0.121,0.205,0.14,0,0,0.48,1.18,0.69,4.02,0.93,0,0,2.55,1.21,0,0.37,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0.480056167,0.266755283,0.25318858,0.263312638,0.61419028,0.122497037,0.739430904,4.88E-05,0.002355163,0.000228239,0.078843862,2.14E-06,0.179090828
90,90,91,109,127,227,26996,ReutersUK,6588,6515,Emanuel Macron,WATCH: Attention shifts to France's Macron at #Davos Summit via @SCREEN_NAME #WEF18,Real,2,54,-11,13.6,139.4,0.092,0.132,-0.065,0,0,0,0,0,0,0,0,0,0,0,0.26,0.81,0,0,0.42,0.22,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.308426261,0.602993548,0.088580236,0.173988655,0.82601136,0,0.983881235,5.40E-07,0.015720576,3.34E-11,0.00039738,5.73E-11,2.54E-07
91,91,92,110,128,228,7859,thetimes,6753,6827,Emanuel Macron,Emmanuel Macron arrived in the UK today on his first presidential visit and is set to demand cash to boost the Cala…,Real,2,54,13.8,17,130.1,-0.062,-0.077,0.036,0,0,0,0.76,1.24,2.35,0.61,0,1.13,0,1.48,1.01,0.1,0.66,0.42,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.464666784,0.427062988,0.108270243,0.107585497,0,0.89241451,6.53E-05,2.02E-08,0.997458041,3.19E-05,6.25E-07,0.002442875,1.35E-06
92,92,93,111,129,229,9203,PA,10231,6681,Emanuel Macron,"Speaking at a press conference at Sandhurst, Theresa May welcomes President Emmanuel Macron in French as she mainta…",Real,2,54,-1,19.2,155.5,0.128,0.39,-0.043,0.38,0,1.05,0.03,0,0.7,0.8,0.81,0,1.56,0.97,0.51,0,0,0,0.64,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0.323529512,0.656729043,0.019741476,0.120619506,0.695332706,0.184047759,0.950095415,5.48E-07,0.003393325,1.44E-06,0.045934413,7.80E-06,0.000567047
93,93,94,112,130,230,21920,Jerusalem_Post,10779,10734,Emanuel Macron,'US no longer a partner': Five takeaways from the Abbas-Macron meeting,Real,2,54,-11.2,5.5,144.1,0.093,0.238,0.031,0.26,0,0,0.52,2.59,2.14,0.98,2.22,3.06,1.88,0,0,0,0.04,3.02,0.24,0.01,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0.421403617,0.578596354,0,0,0,1,0.164298967,1.67E-10,0.013445978,0.787469983,0.031300895,3.11E-08,0.00348421
94,94,95,113,131,231,32940,France24_en,6953,6677,Emanuel Macron,THE DEBATE - Macron and Africa: French President touts new relationship with ex colonies,Real,2,54,11.4,12.5,127.8,0.033,-0.065,-0.163,0.9,0,0.85,0.85,1.54,1.46,0,0.93,2.28,1.57,0,0,0.42,0,1.65,0.59,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0.29275772,0.70724231,0,0,0,1,3.80E-07,3.35E-13,5.89E-07,0.990015566,6.23E-05,0.009898371,2.29E-05
95,95,96,114,132,232,24824,SCMP_News,6048,5746,Emanuel Macron,Opportunity or threat? China watches to see which way Macron goes on New Silk Road,Real,2,54,-11.5,17.7,133.9,-0.013,0.162,-0.083,0,0,0.74,0,0.26,0.49,0.25,0,0,0,1.37,0.83,0,0.21,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.176435366,0.823564589,0,0,0,1,0.880098164,1.47E-07,0.001674628,0.000514538,0.041664556,7.17E-08,0.076047979
96,96,97,115,133,233,38221,business,6559,10185,Emanuel Macron,A ray of light or a lot of hot air? What to watch at Emmanuel Macron's climate summit,Real,2,54,-3.4,12.2,158.4,-0.03,0.045,0.034,1.19,0,0.47,0,0.73,2.26,0.63,0.34,0.68,1.37,0.63,1.17,0.11,0.28,0.29,1.19,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0.316975027,0.683024943,0,0.187718019,0.808363616,0.003918411,0.071218319,0.000196644,0.621520102,0.171111032,0.120780781,0.001668124,0.01350507
